id,mdb,project_name,region,multi_country,country,iso_country_code,city,year,context,sector,subset,amounttotal_2020usd,amountmdb_2020usd,sponsor1,amount1,sponsor2,amount2,sponsor3,amount3,sponsor4,amount4,sponsor5,amount5,sponsor6,amount6,sponsor7,amount7,ppp_sanitation,ppp_water,amount_sanitation,amount_water,primaryc,secondaryc,towns,network_infrastructure,n_drains_sewers,n_treatment,non_network_infrastructure,nn_containment,nn_transport,nn_treatment,nn_disposal,nn_reuse,ur1,ur2,ur3,ur4,ur5,er1,er2,er3
P001151,IBRD,Water Supply and Sanitation Sector Adjustment Loan (WASAL) Project,Western Africa,0,Ivory Coast,CIV,MULTI,1990,Both,Water & Sanitation,1,158465922.571593,158465922.571593,IBRD,158465922.571593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P-MW-EA0-004,AfDB,District Water Supply Project II,Eastern Africa,0,Malawi,MWI,MULTI,1990,Urban,Water,1,37786031.7556902,38135122.5519139,AfDB,38135122.5519139,GOV,4944971.43886699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P-ZM-EA0-003,AfDB,District Centre Water/Sanitation,Eastern Africa,0,Zambia,ZMB,MULTI,1990,Urban,Water & Sanitation,2,26229848.5018162,20854879.546526,AfDB,20854879.546526,GOV,5374968.95529021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P000722,IBRD,Market Towns Development Project,Eastern Africa,0,Ethiopia,ETH,MULTI,1990,Urban,Water +,3,104785591.300466,79629126.0922253,IBRD,79629126.0922253,GOV,14856180.2410868,OTHER_MULTI_BI_LATERAL,10300284.9671535,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,16100000,0,0,16,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P003977,IBRD,THIRD JABOTABEK URBAN DEVELOPMENT PROJECT,South-eastern Asia,0,Indonesia,IDN,Jakarta,1990,Urban,Water & Sanitation +,2,192139931.118056,120830265.960839,IBRD,120830265.960839,GOV,70121170.7379297,NA,1188494.41928694,NA,NA,NA,NA,NA,NA,NA,NA,Non,Non,4600000,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P001157,IBRD,Abidjan Environmental Protection Project,Western Africa,0,Ivory Coast,CIV,Abidjan,1990,Urban,Sanitation,3,98843119.2040309,43380046.3039735,IBRD,43380046.3039735,OTHER_MULTI_BI_LATERAL,35654832.5786083,GOV,19808240.3214491,NA,NA,NA,NA,NA,NA,NA,NA,Service-O&M,NA,49900000,NA,1,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
P003868,IBRD,Jabotabek Urban Development (02),South-eastern Asia,0,Indonesia,IDN,Jakarta,1990,Urban,Water & Sanitation +,2,690515257.605715,376356566.107532,IBRD,376356566.107532,GOV,218881055.552012,OTHER_MULTI_BI_LATERAL,95277635.94617,NA,NA,NA,NA,NA,NA,NA,NA,Non,Non,38700000,227500000,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P-CV-E00-001,AfDB,2<e8>me Projet Eau & Assainissement <e0>  Mindelo,Western Africa,0,Cabo Verde,CPV,Mindelo,1990,Urban,Water & Sanitation,2,45353407.5480916,21139172.4045092,AfDB,21139172.4045092,GOV,4514973.92244378,NA,19699261.2211386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P000712,IBRD,Addis Ababa Urban Development Project (02),Eastern Africa,0,Ethiopia,ETH,Addis Ababa,1990,Urban,Water +,3,92504482.3011671,69328841.1250717,IBRD,69328841.1250717,GOV,23175641.1760954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,4400000,1,0,0,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P-NG-EA0-002,AfDB,Niger State Water Supply Project,Western Africa,0,Nigeria,NGA,MULTI,1990,Both,Water,1,188285162.503816,171058387.002111,AfDB,171058387.002111,NA,17226775.5017051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P008071,IBRD,Water Supply Project,Caribbean,0,Saint Lucia,LCA,MULTI,1990,Urban,Water,3,80223373.3018687,15252345.0475158,OTHER_MULTI_BI_LATERAL,38229903.8203967,OTHER_MULTI_BI_LATERAL,14460015.4346578,IBRD,10300284.9671535,GOV,8319460.93500861,IBRD,4952060.08036227,OTHER_MULTI_BI_LATERAL,3961648.06428981,NA,NA,NA,Non,NA,40500000,1,MULTI,MULTI,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
P007647,IBRD,WATER SUPPLY AND SANITATION SECTOR PROJECT,Central America,0,Mexico,MEX,MULTI,1990,Urban,Water & Sanitation,2,1289318362.52312,594247209.643472,IBRD,594247209.643472,GOV,500950397.729447,NA,194120755.150201,NA,NA,NA,NA,NA,NA,NA,NA,Service-O&M,Service-O&M,230200000,282700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P009890,IBRD,HYDERABAD WATER SUPPLY AND SANITATION PROJECT,Southern Asia,0,India,IND,Hyderabad,1990,Urban,Water & Sanitation,2,278503858.919574,178076080.489827,IBRD,158267840.168378,GOV,99041201.6072453,IBRD,19808240.3214491,COM,1386576.82250143,NA,NA,NA,NA,NA,NA,Non,Non,29600000,63100000,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P001065,IBRD,National Rural Infrastructure Project,Western Africa,0,Guinea,GIN,NA,1990,Rural,Water +,1,175897174.054468,79232961.2857963,IBRD,79232961.2857963,OTHER_MULTI_BI_LATERAL,67942264.3025703,GOV,26741124.4339562,COM,1980824.03214491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1056,AsDB,METROPOLITAN CEBU WATER SUPPLY PROJECT,South-eastern Asia,0,Philippines,PHL,Cebu,1990,Urban,Water,1,65367193.0607819,43578128.707188,AsDB,43578128.707188,GOV,21789064.353594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P004561,IBRD,"FIRST WATER SUPPLY, SEWERAGE AND SANITATION SECTOR PROJECT",South-eastern Asia,0,Philippines,PHL,NA,1990,Rural,Water & Sanitation,1,263053431.468844,168370042.732317,IBRD,168370042.732317,GOV,94683388.7365265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
